"����","γ��","ҵ��ʱ��","��Ƭ��¼����","��·����","��γ��","�ϳ�վ��","ʵ��վ��"
114.064338,22.656986,"2014/6/9 10:16",293452445,"68·","114.064338,22.656986",1,37
114.034683,22.642583,"2014/6/9 10:21",292190124,"68·","114.034683,22.642583",2,31
114.034683,22.642583,"2014/6/9 10:21",321553398,"68·","114.034683,22.642583",2,31
113.948257,22.530096,"2014/6/9 10:42",291146968,"68·","113.948257,22.530096",3,5
113.948257,22.530096,"2014/6/9 10:42",293122627,"68·","113.948257,22.530096",3,5
114.029754,22.527545,"2014/6/9 10:53",322278410,"68·","114.029754,22.527545",4,10
114.036056,22.524547,"2014/6/9 10:55",329735636,"68·","114.036056,22.524547",5,11
114.038627,22.523084,"2014/6/9 10:56",293001487,"68·","114.038627,22.523084",5,11
113.940483,22.549722,"2014/6/9 11:06",23384881,"68·","113.940483,22.549722",6,3
113.940483,22.549722,"2014/6/9 11:06",291153811,"68·","113.940483,22.549722",6,3
113.991752,22.525581,"2014/6/9 11:21",326926634,"68·","113.991752,22.525581",7,6
114.047065,22.518667,"2014/6/9 11:25",327543149,"68·","114.047065,22.518667",8,12
114.075126,22.542928,"2014/6/9 11:46",295766237,"68·","114.075126,22.542928",9,17
114.035072,22.6231,"2014/6/9 12:05",251385411,"68·","114.035072,22.6231",10,30
114.035072,22.6231,"2014/6/9 12:05",293641560,"68·","114.035072,22.6231",10,30
114.034065,22.642652,"2014/6/9 12:15",20705404,"68·","114.034065,22.642652",2,31
114.034065,22.642652,"2014/6/9 12:15",251377066,"68·","114.034065,22.642652",2,31
114.062446,22.63965,"2014/6/9 12:27",330244602,"68·","114.062446,22.63965",11,34
114.058547,22.637849,"2014/6/9 12:34",292151123,"68·","114.058547,22.637849",12,33
114.062644,22.639326,"2014/6/9 12:36",323160407,"68·","114.062644,22.639326",11,34
114.062644,22.639326,"2014/6/9 12:36",328018375,"68·","114.062644,22.639326",11,34
114.062644,22.639326,"2014/6/9 12:36",328153060,"68·","114.062644,22.639326",11,34
114.061203,22.648195,"2014/6/9 12:39",660062210,"68·","114.061203,22.648195",13,36
114.066413,22.659549,"2014/6/9 6:02",360972027,"68·","114.066413,22.659549",1,37
114.034553,22.624416,"2014/6/9 6:22",323654111,"68·","114.034553,22.624416",10,30
114.061882,22.638866,"2014/6/9 6:37",293966254,"68·","114.061882,22.638866",11,34
114.047119,22.518867,"2014/6/9 6:54",322931121,"68·","114.047119,22.518867",8,12
114.047119,22.518867,"2014/6/9 6:54",326548574,"68·","114.047119,22.518867",8,12
114.047119,22.518867,"2014/6/9 6:54",327235486,"68·","114.047119,22.518867",8,12
114.047119,22.518867,"2014/6/9 6:54",330038615,"68·","114.047119,22.518867",8,12
114.039581,22.612716,"2014/6/9 6:57",251037944,"68·","114.039581,22.612716",14,29
114.039581,22.612716,"2014/6/9 6:57",251298990,"68·","114.039581,22.612716",14,29
114.039581,22.612716,"2014/6/9 6:57",292478388,"68·","114.039581,22.612716",14,29
114.071662,22.550975,"2014/6/9 7:10",150061723,"68·","114.071662,22.550975",15,18
113.999649,22.53005,"2014/6/9 7:11",298846312,"68·","113.999649,22.53005",0,37
113.999649,22.53005,"2014/6/9 7:11",322508195,"68·","113.999649,22.53005",0,37
114.043548,22.520271,"2014/6/9 7:27",20943021,"68·","114.043548,22.520271",8,12
114.043548,22.520271,"2014/6/9 7:27",80146492,"68·","114.043548,22.520271",8,12
114.043548,22.520271,"2014/6/9 7:27",293499521,"68·","114.043548,22.520271",8,12
114.061668,22.652555,"2014/6/9 7:29",180026538,"68·","114.061668,22.652555",13,36
113.940399,22.54915,"2014/6/9 7:29",285082248,"68·","113.940399,22.54915",6,3
113.940399,22.54915,"2014/6/9 7:29",296173669,"68·","113.940399,22.54915",6,3
114.021003,22.531967,"2014/6/9 7:34",297671449,"68·","114.021003,22.531967",16,8
114.021003,22.531967,"2014/6/9 7:34",320830455,"68·","114.021003,22.531967",16,8
114.021003,22.531967,"2014/6/9 7:34",329849352,"68·","114.021003,22.531967",16,8
114.041473,22.640039,"2014/6/9 7:46",290632122,"68·","114.041473,22.640039",2,31
114.041473,22.640039,"2014/6/9 7:46",292887064,"68·","114.041473,22.640039",2,31
114.041473,22.640039,"2014/6/9 7:46",293038807,"68·","114.041473,22.640039",2,31
114.041473,22.640039,"2014/6/9 7:46",294138687,"68·","114.041473,22.640039",2,31
114.039108,22.641319,"2014/6/9 7:47",291394401,"68·","114.039108,22.641319",2,31
114.039108,22.641319,"2014/6/9 7:47",291685116,"68·","114.039108,22.641319",2,31
114.039108,22.641319,"2014/6/9 7:47",292894768,"68·","114.039108,22.641319",2,31
114.039108,22.641319,"2014/6/9 7:47",294527275,"68·","114.039108,22.641319",2,31
114.039108,22.641319,"2014/6/9 7:47",321154064,"68·","114.039108,22.641319",2,31
114.039108,22.641319,"2014/6/9 7:47",324723295,"68·","114.039108,22.641319",2,31
114.039108,22.641319,"2014/6/9 7:47",325691138,"68·","114.039108,22.641319",2,31
114.039108,22.641319,"2014/6/9 7:47",325878773,"68·","114.039108,22.641319",2,31
114.039108,22.641319,"2014/6/9 7:47",326392621,"68·","114.039108,22.641319",2,31
