经度,纬度,业务时间,卡片记录编码,线路名称,车牌号
114.030242,22.753021,2014/6/12 17:53,327556522,627路,粤B67266
114.026062,22.654146,2014/6/12 9:26,361316983,M211路,粤B69461
114.041946,22.649436,2014/6/12 16:56,290763344,M211路,粤B69461
114.04042,22.611124,2014/6/12 17:33,320210867,621路,粤B69767
114.029136,22.619932,2014/6/12 9:53,327408021,M353路,粤B69806
114.03627,22.61934,2014/6/12 9:31,322908436,333路,粤B69819
114.018447,22.663511,2014/6/12 17:32,325265670,M424路,粤B69846
114.136985,22.5615,2014/6/12 15:06,323832082,M373路,粤B69848
114.136985,22.5615,2014/6/12 15:06,323832082,M373路,粤B69848
114.136764,22.560932,2014/6/12 16:43,329453004,M373路,粤B69849
114.144584,22.609832,2014/6/12 10:20,321483401,383路,粤B70475
114.144584,22.609832,2014/6/12 10:20,321483401,383路,粤B70475
114.111114,22.596567,2014/6/12 14:46,280098317,383路,粤B70475
114.111114,22.596567,2014/6/12 14:46,280098317,383路,粤B70475
114.104133,22.556716,2014/6/12 15:06,320154683,383路,粤B70475
114.104133,22.556716,2014/6/12 15:06,320154683,383路,粤B70475
114.08078,22.551767,2014/6/12 15:19,210006021,383路,粤B70475
113.967086,22.54095,2014/6/12 15:49,324448641,383路,粤B70475
113.967086,22.54095,2014/6/12 15:49,324448641,383路,粤B70475
114.024436,22.539449,2014/6/12 16:57,323857016,383路,粤B70475
114.024436,22.539449,2014/6/12 16:57,323857016,383路,粤B70475
114.046279,22.550733,2014/6/12 17:11,321666352,383路,粤B70475
114.093879,22.551816,2014/6/12 17:32,326529353,383路,粤B70475
114.103866,22.553016,2014/6/12 17:45,294633308,383路,粤B70475
114.137069,22.609516,2014/6/12 18:56,326232975,383路,粤B70475
114.137069,22.609516,2014/6/12 18:56,326232975,383路,粤B70475
113.859062,22.799892,2014/6/12 19:45,293865735,M248路,粤B70538
114.064926,22.633392,2014/6/12 18:36,328649017,M342路,粤B71871
113.886978,22.591279,2014/6/12 11:27,23271650,605路,粤B72207
113.891029,22.586042,2014/6/12 16:09,330707548,605路,粤B72309
114.025917,22.539649,2014/6/12 10:35,20384536,383路,粤B74271
114.025917,22.539649,2014/6/12 10:35,20384536,383路,粤B74271
114.048866,22.550899,2014/6/12 10:46,680955544,383路,粤B74271
114.048866,22.550899,2014/6/12 10:46,680955544,383路,粤B74271
114.145286,22.609899,2014/6/12 12:17,323846530,383路,粤B74271
114.145286,22.609899,2014/6/12 12:17,323846530,383路,粤B74271
114.138702,22.609283,2014/6/12 12:20,294518634,383路,粤B74271
114.138702,22.609283,2014/6/12 12:20,294518634,383路,粤B74271
114.138702,22.609283,2014/6/12 12:20,294518634,383路,粤B74271
114.138702,22.609283,2014/6/12 12:20,294518634,383路,粤B74271
114.120147,22.606683,2014/6/12 15:23,322559162,383路,粤B74271
114.120147,22.606683,2014/6/12 15:23,322559162,383路,粤B74271
113.85437,22.587999,2014/6/12 19:34,280660092,615路,粤B74276
114.02478,22.6601,2014/6/12 11:15,321834312,M421路,粤B74598
114.02478,22.6601,2014/6/12 11:15,321834312,M421路,粤B74598
114.028465,22.660865,2014/6/12 16:10,297422374,M421路,粤B74598
114.028465,22.660865,2014/6/12 16:10,297422374,M421路,粤B74598
114.102767,22.623649,2014/6/12 16:50,293139962,M421路,粤B74598
114.102767,22.623649,2014/6/12 16:50,293139962,M421路,粤B74598
114.121803,22.698583,2014/6/12 19:01,20624697,M264路,粤B74615
114.121803,22.698583,2014/6/12 19:01,20624697,M264路,粤B74615
114.108703,22.697883,2014/6/12 19:05,291097226,M264路,粤B74615
114.108703,22.697883,2014/6/12 19:05,291097226,M264路,粤B74615
114.032615,22.669015,2014/6/12 19:41,326315276,M264路,粤B74615
114.032615,22.669015,2014/6/12 19:41,326315276,M264路,粤B74615
114.036087,22.6944,2014/6/12 12:30,293175862,M264路,粤B74671
114.036087,22.6944,2014/6/12 12:30,293175862,M264路,粤B74671
